[2020-05-06 03:16:38.023] [default_log] [info] Called OnProgress: ulProgress 32741832, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.025] [default_log] [info] Called OnProgress: ulProgress 32758216, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.028] [default_log] [info] Called OnProgress: ulProgress 32782792, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.029] [default_log] [info] Called OnProgress: ulProgress 32799176, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.031] [default_log] [info] Called OnProgress: ulProgress 32815560, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.032] [default_log] [info] Called OnProgress: ulProgress 32831944, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.034] [default_log] [info] Called OnProgress: ulProgress 32848328, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.035] [default_log] [info] Called OnProgress: ulProgress 32864712, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.036] [default_log] [info] Called OnProgress: ulProgress 32881096, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.038] [default_log] [info] Called OnProgress: ulProgress 32897480, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.039] [default_log] [info] Called OnProgress: ulProgress 32913864, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.040] [default_log] [info] Called OnProgress: ulProgress 32930248, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.041] [default_log] [info] Called OnProgress: ulProgress 32946632, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.043] [default_log] [info] Called OnProgress: ulProgress 32963016, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.043] [default_log] [info] Called OnProgress: ulProgress 32979400, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.046] [default_log] [info] Called OnProgress: ulProgress 32995784, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.048] [default_log] [info] Called OnProgress: ulProgress 33012168, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.049] [default_log] [info] Called OnProgress: ulProgress 33028552, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.051] [default_log] [info] Called OnProgress: ulProgress 33044936, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.053] [default_log] [info] Called OnProgress: ulProgress 33061320, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.054] [default_log] [info] Called OnProgress: ulProgress 33077704, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.056] [default_log] [info] Called OnProgress: ulProgress 33094088, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.056] [default_log] [info] Called OnProgress: ulProgress 33110472, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.058] [default_log] [info] Called OnProgress: ulProgress 33126856, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.059] [default_log] [info] Called OnProgress: ulProgress 33143240, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.061] [default_log] [info] Called OnProgress: ulProgress 33159624, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.063] [default_log] [info] Called OnProgress: ulProgress 33176008, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.064] [default_log] [info] Called OnProgress: ulProgress 33192392, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.066] [default_log] [info] Called OnProgress: ulProgress 33208776, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.067] [default_log] [info] Called OnProgress: ulProgress 33225160, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.068] [default_log] [info] Called OnProgress: ulProgress 33241544, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.070] [default_log] [info] Called OnProgress: ulProgress 33257928, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.071] [default_log] [info] Called OnProgress: ulProgress 33274312, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.073] [default_log] [info] Called OnProgress: ulProgress 33290696, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.075] [default_log] [info] Called OnProgress: ulProgress 33307080, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.076] [default_log] [info] Called OnProgress: ulProgress 33323464, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.078] [default_log] [info] Called OnProgress: ulProgress 33339848, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.079] [default_log] [info] Called OnProgress: ulProgress 33356232, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.080] [default_log] [info] Called OnProgress: ulProgress 33372616, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.083] [default_log] [info] Called OnProgress: ulProgress 33389000, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.084] [default_log] [info] Called OnProgress: ulProgress 33405384, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.085] [default_log] [info] Called OnProgress: ulProgress 33421768, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.086] [default_log] [info] Called OnProgress: ulProgress 33438152, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.087] [default_log] [info] Called OnProgress: ulProgress 33454536, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.089] [default_log] [info] Called OnProgress: ulProgress 33470920, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.091] [default_log] [info] Called OnProgress: ulProgress 33487304, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.093] [default_log] [info] Called OnProgress: ulProgress 33503688, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.094] [default_log] [info] Called OnProgress: ulProgress 33520072, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.096] [default_log] [info] Called OnProgress: ulProgress 33536456, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.097] [default_log] [info] Called OnProgress: ulProgress 33552840, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.098] [default_log] [info] Called OnProgress: ulProgress 33569224, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.099] [default_log] [info] Called OnProgress: ulProgress 33585608, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.101] [default_log] [info] Called OnProgress: ulProgress 33601992, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.103] [default_log] [info] Called OnProgress: ulProgress 33618376, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.105] [default_log] [info] Called OnProgress: ulProgress 33634760, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.106] [default_log] [info] Called OnProgress: ulProgress 33651144, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.107] [default_log] [info] Called OnProgress: ulProgress 33667528, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.109] [default_log] [info] Called OnProgress: ulProgress 33683912, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.111] [default_log] [info] Called OnProgress: ulProgress 33716680, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.114] [default_log] [info] Called OnProgress: ulProgress 33733064, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.115] [default_log] [info] Called OnProgress: ulProgress 33749448, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.116] [default_log] [info] Called OnProgress: ulProgress 33765832, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.118] [default_log] [info] Called OnProgress: ulProgress 33782216, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.119] [default_log] [info] Called OnProgress: ulProgress 33798600, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.121] [default_log] [info] Called OnProgress: ulProgress 33814984, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.123] [default_log] [info] Called OnProgress: ulProgress 33831368, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.124] [default_log] [info] Called OnProgress: ulProgress 33847752, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.125] [default_log] [info] Called OnProgress: ulProgress 33864136, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.127] [default_log] [info] Called OnProgress: ulProgress 33880520, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.128] [default_log] [info] Called OnProgress: ulProgress 33896904, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.130] [default_log] [info] Called OnProgress: ulProgress 33913288, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.132] [default_log] [info] Called OnProgress: ulProgress 33929672, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.133] [default_log] [info] Called OnProgress: ulProgress 33946056, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.134] [default_log] [info] Called OnProgress: ulProgress 33962440, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.135] [default_log] [info] Called OnProgress: ulProgress 33978824, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.137] [default_log] [info] Called OnProgress: ulProgress 33995208, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.139] [default_log] [info] Called OnProgress: ulProgress 34011592, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.140] [default_log] [info] Called OnProgress: ulProgress 34027976, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.141] [default_log] [info] Called OnProgress: ulProgress 34044360, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.144] [default_log] [info] Called OnProgress: ulProgress 34060744, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.145] [default_log] [info] Called OnProgress: ulProgress 34077128, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.145] [default_log] [info] Called OnProgress: ulProgress 34093512, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.147] [default_log] [info] Called OnProgress: ulProgress 34109896, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
